title_x,parent_asin,categories,cat1,rating,title_y,text,asin,user_id,helpful_vote,verified_purchase,time
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,1,Unpleasant Taste,"These multivitamin soft chews have an unpleasant taste. I prefer the Bariatric Advantage ones, which taste much better. I ended up giving these away.",B08HG44W98,AHRQ5LY2UIF7ADJMJRA4MIGKBGLQ,0,True,22:22:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Mixed Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,"Health & Household, Heart Health Event",,4,Tolerable,"These mixed berry chews are tolerable. Consistency of a starburst but doesn't let you forget that it's a multi-vitamin. A much better way to take them compared to the Bariatric Fusion Strawberry chewable tablets. I'm pairing mine with a patch as I'm unsure of either. Get the soft chews, not the tablets.",B07JGFHQ5P,AHT55ARHZPS5P76CQMTEG3BYNAXA,10,True,14:55:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,5,IF YOU GIVE A MOM A VITAMINâ?¦â?¦â?¦,"These are GRAB and GOâ?¦..<br />NO unscrewing the lid, getting them out, screwing the lid back on, remembering to actually take them after all the (screwing) because you still need get a drink in order to choke them down!<br />Bariatric Fusion ARE so delicious, easy to chew, variety of yummy flavors & I can definitely tell a difference after only 3-5 days! Also I am severely IRON deficient, like my periods have stopped, no reserve, horrible symptoms & had to resort to infusions which arenâ??t convenientâ?¦.<br />I have tried liquids, sublingual, gummies, capsules, pill form, patches, like 5 brands of each, infusions & finally I have found these! Reasonably priced, sufficient supply (2 months worth), delivered weighing 18 hrs of purchase, subscription delivered every 2 months & they are fresh!",B07JGTMK2L,AEH7ZPGBOVO3HXHFRAE5B5F22LMA,6,True,19:22:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Citrus Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,3,Disappointing Taste,"The citrus flavor of this multivitamin was not as enjoyable as I had hoped. It started off okay, but the aftertaste was quite unpleasant. I would recommend trying a different flavor.",B07JGFHQ5P,AHGQPOY5ITTGBKSY2Y6TZCSOQREA,1,True,01:08:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Blast Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,4,Tasty and Convenient,"These berry blast flavored chews are a great option for post-bariatric surgery patients. They have a pleasant taste and are not too chalky. However, I would recommend not consuming them on an empty stomach as I felt a bit weak after doing so. Also, be careful not to refrigerate them as they can become quite hard. Overall, a good product and a convenient way to get the necessary vitamins.",B07JH63HWS,AEEMUGUIFQF5S7TFMNDN56A5SXJA,1,True,08:10:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,2,The taste ðŸ�·,"I was really hoping to like these vitamins, but the berry flavor just doesn't sit well with me. I've tried taking them at different times of the day, but I always end up feeling nauseous. I think I'll have to switch to a different form, like capsules or patches. It's a shame because I really wanted to like these.",B07JH63HWS,AG5Y3YVRMIJM7JRCUAKCXY7GAY4Q,0,True,17:12:00
New Magnesium Supplement 120 Tablets Per Bottle (3 Pack),B00W68ACSE,Health & Household,Supplements,5,Excellent Product,The delivery was fast and the product arrived in perfect condition. I'm very satisfied with the quality of this magnesium supplement.,B00W68ACSE,A1B2C3D4E5F6G7H8I9J,0,True,01:47:00
New Record Magnesium Supplement,B00W68ACSE,Health & Household,Supplements,5,Excellent Product,I am very satisfied with this magnesium supplement. It arrived promptly and was exactly as described by the seller. Great value for money.,B00W68ACSE,AG4VNFQIGGHZW3IKBBSSQ5G5PHIQ,0,True,20:42:00
LIV Body | LIV Vegan Protein | 20g of Protein | Supports Muscle Recovery & Growth | 3 Delicious Flavors (Chocolate),B08DQPK64L,Health & Household,Sports Nutrition Protein Supplements,5,Great Taste and Effective,"I've been using LIV Body's Vegan Protein for a few weeks now and I'm really impressed. The chocolate flavor is rich and delicious, and it mixes well with both water and almond milk. I've noticed a significant improvement in my muscle recovery and growth since incorporating this protein into my post-workout routine. Highly recommend!",B08DQPK64L,AG4WPO3URVGT2JCF3PKGH3WQTVTA,0,True,06:17:00
LIV Body | LIV Vegan Protein | 20g of Protein | Supports Muscle Recovery & Growth | 3 Delicious Flavors (Chocolate),B08DQPK64L,Health & Household,Sports Nutrition Protein Supplements,5,Excellent Vegan Protein,This vegan protein powder is fantastic! The chocolate flavor is rich and delicious. It mixes well and has helped me with muscle recovery after workouts. Highly recommended for anyone looking for a high-quality vegan protein supplement.,B08DQPK64L,AGOYM27TDHYWJJWKQ7LEX63LRPBA,1,True,16:15:00
LIV Body | LIV Vegan Protein | 20g of Protein | Supports Muscle Recovery & Growth | 3 Delicious Flavors (Chocolate),B08DQPK64L,Health & Household,Sports Nutrition,5,Excellent Vegan Protein,I highly recommend this product! The chocolate flavor is delicious and I've noticed improvements in my muscle recovery. Very satisfied with my purchase.,B08DQPK64L,AHCS2KFIBPUQSUOBXVNLOLMYUJWQ,0,True,00:02:00
LIV Body | LIV Vegan Protein | 20g of Protein | Supports Muscle Recovery & Growth | 3 Delicious Flavors (Chocolate),B08DQPK64L,Health & Household,Sports Nutrition Protein Supplements,5,Great Vegan Protein,I've tried many vegan protein powders and this one is by far my favorite. The chocolate flavor is rich and not too sweet. It mixes well with almond milk and I've noticed improved muscle recovery after my workouts. Highly recommend for anyone looking for a high-quality vegan protein option.,B08DQPK64L,AEG7X4BKRO2W7TTXSUVW2LZSHVBQ,0,True,16:53:00
"Immune Fizz-Daily Immune Boost With Multi Vitamins, 25ct Variety Pack",B0012DATSC,Health & Household,Heart Health Event,1,Tastes aweful,I'm a huge fan of Zipp Fizz so tried the Immune Fizz. Couldn't give the stuff away!,B0012DATSC,AGJJLEKZN2H5AMXFEXHJQLQ4AONQ,0,True,19:30:00
"Immune Fizz-Daily Immune Boost With Multi Vitamins, 25ct Variety Pack",B0012DATSC,"['Health & Household', 'Heart Health Event']",,5,Immune fizz,Far superior to Emergen-C. Better flavor and more vitamins and minerals. The only problem is that Zipp Fizz is discontinuing the tropical punch flavor and going exclusively with the fruit punch flavor. I much prefer tropical punch. HELP ME PUT PRESSURE ON ZIPP FIZZ TO KEEP TROPICAL PUNCH!,B0012DATSC,AGSRBRQFK4JW4NFZJWTGAJG7DM4A,1,True,02:02:00
"Organic Probiotics for Kids - Cherry Flavor - 10 Billion CFUs, Dairy-Free, Sugar-Free, Gluten-Free (12) Packets, 3g each",B079VYHJ9Y,Health & Household,Heart Health Event,5,"Delicious and healthy, but could be larger","This probiotic is delicious and my kids love the cherry flavor. It's also great that it's organic, dairy-free, sugar-free, and gluten-free. However, I wish the packets were a bit larger as my kids go through them quickly. The product arrived well-packaged and kept cool during shipping.",B079VYHJ9Y,AFPXY4SIYUFOBKMBECQJNCY4JOAQ,0,True,02:59:00
"New Bariatric Probiotic Advanced Formula with 30 Billion CFU, Digestive and Immune Support, for Bariatric and Gastric Sleeve Surgery - Made in Canada, 90 Capsules, Unflavored",B078WWDH5Y,Health & Household,Heart Health Event,5,Five Stars,Excellent Quality!,B078WWDH5Y,AFSE67XGGOT7OZN755N2TQQV4UWQ,1,True,18:09:00
"New Bariatric Probiotic with 30 Billion CFU, Digestive and Immunity Support, for Bariatric and Gastric Bypass Surgery - Made in the USA, 90 Gummies, Raspberry Flavor",B078WWDH5Y,Health & Household,Heart Health Event,5,Excellent taste and no iron content,"These gummies have a delightful raspberry flavor and do not contain iron, which is great for those who are sensitive to it.",B078WWDH5Y,AECCD4CBHA6HYBXCVWTPOQOSDS2A,1,True,21:39:00
"Probiotic Gummies for Digestive Health - 15 Billion CFU, Made in the USA, 60 Count, Berry Flavor",B078WWDH5Y,['Health & Household'],Digestive Health,5,Delicious Berry Flavor,These probiotic gummies are an excellent choice for supporting digestive health. The berry flavor is delightful and makes it easy to take daily.,B08XQVNJZK,A2JG56789KLMNO,1,True,08:12:00
"New ACTIF Bariatric Probiotic Maximum Strength with 30 Billion CFU, Enhanced Immunity and Gut Support, for Bariatric and Gastric Bypass Surgery - Made in the USA, 90 Gummies, Mixed Berry Flavor",B078WWDH5Y,"Health & Household, Heart Health Event",,5,Even better than the original!,"I was a fan of the original ACTIF Bariatric Probiotic gummies, but these new ones with 30 Billion CFU and mixed berry flavor are a game-changer. They've significantly improved my gut health and energy levels.",B078WWDH5Y,AF4DCI4SJCYKZELZGLUP2BC3WPYQ,1,True,19:02:00
"New Record Probiotic Supplement with 50 Billion CFU, Digestive and Immune Support, for Adults and Children - Made in Canada, 90 Capsules, Unflavored",B078WWDH5Y,Health & Household,Digestive Health,5,New Record Probiotic Supplement,Excellent taste and highly effective.,B00XABCDEF,A1B2C3D4E5F6G7H8I9J0,1,True,17:15:00
"Probiotic Plus Prebiotic for Women and Men, 60 Billion CFU, Digestive and Immune Support, Made in the USA, 30 Capsules",B078WWDH5Y,Health & Household,Digestive Health,5,Excellent probiotic!,This probiotic has significantly improved my digestive health. I highly recommend it.,B08XQNXZJG,AFL6BTFRNNW45VV5NALUGEI7KDVA,1,True,23:55:00
"New Bariatric Multivitamin with 25 Billion CFU, Enhanced Absorption, for Bariatric and Gastric Bypass Surgery - Made in the USA, 90 Capsules, Berry Flavor",B078WWDH5Y,Health & Household,Heart Health Event,5,New Bariatric Multivitamin,I take these capsules as recommended. They are easy to swallow and have a pleasant berry flavor. I appreciate the higher CFU count for enhanced absorption.,B078WWDH5Y,AHSWZKPKQRQSB2RNTOO3COJXIZCQ,2,True,06:26:00
"New Product Title: ACTIF Bariatric Probiotic Max Strength with 30 Billion CFU, Digestive and Immune Support, for Bariatric and Gastric Bypass Surgery - Made in the USA, 90 Gummies, Blueberry Flavor",B078WWDH5Y,Health & Household,Heart Health Event,5,Excellent Product.,These probiotics have a delightful blueberry taste and are easy to chew and digest. I've noticed a significant improvement in my digestive health since I started taking them.,B078WWDH5Y,AEUPKCQH4R2W73EA2LNLLOSVJZBQ,2,True,18:50:00
"Bariatric Multivitamin with Iron - Maximum Strength, 60 Capsules, Berry Flavor",B078WWDH5Y,Health & Household,Bariatric Supplements,5,Bariatric Vitamins,I have been using this product for several months now and I am very satisfied with the results. It provides all the necessary nutrients for bariatric patients and the berry flavor is a nice touch.,B08XQ7VJZR,AGXINLKFA3NPYMGQSLCAS4VNE5GQ,2,True,08:35:00
"VITALITY Men's Probiotic with 30 Billion CFU, Energy and Gut Support, for Active Lifestyle - Made in the USA, 90 Capsules, Unflavored",B078WWDH5Y,Health & Household,Heart Health Event,5,Excellent Product,I consistently purchase these supplements from Amazon due to their reliable availability and competitive pricing. The delivery service is also exceptional. This product is specifically designed for men and has significantly improved my energy levels and sleep quality. I have noticed an overall improvement in my health and well-being. I highly recommend this product to all men looking to enhance their health. ,B078WWDH5Y,AGV2LDRSHLDSBF7I6JRQIZGKKMXA,1,True,18:25:00
"ACTIF Bariatric Probiotic Maximum Strength with 20 Billion CFU, Immunity and Gut Support, for Bariatric and Gastric Bypass Surgery - Made in the USA, 60 Gummies, Strawberry Flavor",B078WWDH5Y,"Health & Household, Heart Health Event",,5,Please keep in stock!!,"Actif seems to help me curb appetite to help put my body and immune system into ketosis. This product enables me to maximize nutrition and minimize caloric intake, keeping my m.s. episodes at bay. Excellent health product. Please keep in stock!",B078WWDH5Y,AF6WOMLRS3YIOJ6DWKBIB3M4EIEQ,1,True,05:39:00
"New Product Title: ACTIF Bariatric Probiotic Advanced Formula with 30 Billion CFU, Enhanced Immunity and Gut Support, for Bariatric and Gastric Bypass Surgery - Made in the USA, 90 Gummies, Mixed Berry Flavor",B078WWDH5Y,Health & Household,Heart Health Event,1,Use by date expires in one month,"I recently received this probiotic and was disappointed to find that it arrived in a different packaging than shown, without a safety seal. The use by date is next month, and all the gummies are stuck together. I attempted to return or exchange the item but discovered it is non-returnable. In contrast, the ACTIF multivitamin I previously purchased had a much later expiration date and was fresh. I believe it's unacceptable to send out old products. I request a refund or a replacement to ensure my continued business.",B078WWDH5Y,AE5AKRJSDKYZPBV6KQPVPQF5PMTQ,0,True,15:34:00
for Polar Heart Rate Sensor/Monitor/Fitness Tracker Hard Case fits H7/H10/Wearlink by Aenllosi (Blue),B074M6D2JC,"Health & Household, Heart Health Event",,5,"size of eyeglass case, does well",This hard case is the size of an eyeglass case and is easy to locate due to its bright blue color. It performs its function effectively.,B074M6D2JC,AGBFDGHUGESKGFVS6QYKIQBEGFXQ,0,True,17:21:00
Polar Heart Rate Sensor/Monitor/Fitness Tracker Hard Case fits H7/H10/Wearlink by Aenllosi (Blue),B074M6D2JC,"Health & Household, Heart Health Event",,5,Excellent,This hard case is perfect for protecting my Polar heart rate sensor. It fits my H10 device snugly and the blue color is vibrant. Highly recommend!,B074M6D2JC,A2R5GQ5YHJWLXQ,0,True,03:15:00
New Record,B001F0R4IU,Health & Household,Vitamins & Supplements,1,bad experience,these pill made my fiance head hurt her for 2 days,B001F0R4IU,AF6ZNXV3FMVLDFNIA3XUQ5Q4DXAA,1,True,01:47:00
New Record Niacinamide Tablets,B073SZSFL9,Health & Household,Heart Health Event,4,Easy to cut and no side effects.,"This vitamin supplement can be easily cut in half for those who prefer a lower dosage, such as 250 mg per day.",B073SZSFL9,AFNGJNVH5JJBLJ6T5TE2KWI4LZ4A,0,True,23:10:00
New Product Title,B073SZSFL9,Health & Household,Heart Health Event,5,Product required for my skin issues.,This is a good price for what my doctor recommended.,NEWASIN,AHYA2RQZMAC3ENPVJDYO6SRF3UKA,0,True,17:52:00
New Record Niacinamide Tablets,B073SZSFL9,Health & Household,Heart Health Event,5,Excellent Product,Highly effective and recommended.,B073SZSFL9,NEWUSERID,0,True,19:17:00
New Record Digital Scale with LED Screen,B01DN221YY,Health & Household,Health Monitoring Devices,5,Excellent,"Highly recommended, great quality and accuracy.",B01DN221YY,AG2DWAWLFMG2GR7TZDBDNPFNDFOA,0,True,16:49:00
LifeSource Digital Body Weight Bathroom Scale with LCD Screen (UC-324),B01DN221YY,Health & Household,Heart Health Event,5,Love it. Predicts the weight accurately,Love it. Predicts the weight accurately. Works on batteries.,B01DN221YY,AG76AOXK63LAI7CYIOJW6QP4ZDOA,3,True,17:23:00
LifeSource Digital Body Weight Bathroom Scale with LCD Screen (UC-324),B01DN221YY,"Health & Household, Heart Health Event",,2,I got it and the battery was loose in the box that looked like this. I am going to buy new batteries ...,I was hesitant ordering this since there was only one review but I ordered it anyway. I got it and the battery was loose in the box that looked like this. I am going to buy new batteries for it. Let's hope it works! If it works I'll come back and change my rating.,B01DN221YY,AHYIYBGSHW27DXTA4TE2K4ZHCWLQ,0,True,09:02:00
LifeSource Digital Body Weight Bathroom Scale with LCD Screen (UC-324),B01DN221YY,Health & Household,Heart Health Event,1,One Star,It is not showing proper weight,B01DN221YY,AEQFIUYVLRDFIPKBHWTPWIT4AULQ,0,True,23:48:00
Numedica - CINNergy 120 Capsules,B01AWXI9BG,Health & Household,Heart Health Event,5,Helps even out blood sugar,I love this product. I was recommended the NuMedica line by my nutritionist. I really like the whole line and this is one of my MUST haves.,B002WBEDQC,AEGSWGXONCUKR7MW2SH7ON3YEKGQ,5,True,19:51:00
Numedica - CINNergy 120 Capsules,B01AWXI9BG,Health & Household,Heart Health Event,2,Two Stars,"sorry, wasn't what i expected.",B017YFVCXM,AH3EYOEMQZXYDPUVAUQPOZELVX6A,0,True,02:08:00
